time	V(n001)	V(n003)	I(R1)
0.000000000000000e+00	2.400000e+01	1.439992e-04	2.399987e-05
3.906249976259879e-11	2.400000e+01	1.439992e-04	2.399987e-05
7.812499952519758e-11	2.400000e+01	1.439992e-04	2.399987e-05
1.222525169835972e-10	2.400000e+01	1.439992e-04	2.399987e-05
1.695747100330803e-10	2.400000e+01	1.439992e-04	2.399987e-05
2.220963496184493e-10	2.400000e+01	1.439993e-04	2.399989e-05
2.806263930693114e-10	2.400000e+01	1.439995e-04	2.399992e-05
3.542939122840143e-10	2.400000e+01	1.440000e-04	2.399999e-05
4.381429165378080e-10	2.400000e+01	1.440008e-04	2.400013e-05
1.000000000000000e-08	2.400000e+01	1.458526e-04	2.430876e-05
4.221811791594736e-08	2.400000e+01	1.831666e-04	3.052777e-05
7.443623583189472e-08	2.400000e+01	2.699154e-04	4.498590e-05
1.066543537478421e-07	2.400000e+01	4.060990e-04	6.768316e-05
1.388724716637895e-07	2.400000e+01	5.917173e-04	9.861955e-05
1.710905895797368e-07	2.400000e+01	8.267704e-04	1.377951e-04
2.033087074956842e-07	2.400000e+01	1.111258e-03	1.852097e-04
2.355268254116315e-07	2.400000e+01	1.445181e-03	2.408635e-04
4.614949949043033e-07	2.400000e+01	5.157177e-03	8.595296e-04
9.134313338896470e-07	2.400000e+01	1.967657e-02	3.279428e-03
1.817304011860335e-06	2.400000e+01	6.968990e-02	1.161498e-02
2.793866511860335e-06	2.400000e+01	1.522059e-01	2.536765e-02
3.770429011860335e-06	2.400000e+01	2.609481e-01	4.349134e-02
4.033437499999999e-06	2.400000e+01	2.960755e-01	4.934592e-02
4.172946428571428e-06	2.400000e+01	3.159219e-01	5.265366e-02
4.312455357142857e-06	2.400000e+01	3.364447e-01	5.607412e-02
4.451964285714285e-06	2.400000e+01	3.576439e-01	5.960732e-02
4.591473214285714e-06	2.400000e+01	3.795195e-01	6.325325e-02
4.730982142857142e-06	2.400000e+01	4.020715e-01	6.701191e-02
4.870491071428571e-06	2.400000e+01	4.252998e-01	7.088331e-02
5.009999999999999e-06	2.400000e+01	4.492046e-01	7.486743e-02
5.019375000000000e-06	2.400000e+01	4.508282e-01	7.513803e-02
5.019437500000000e-06	2.400000e+01	4.508390e-01	7.513984e-02
5.019562500000000e-06	2.400000e+01	4.508607e-01	7.514345e-02
5.019750000000000e-06	2.400000e+01	4.508932e-01	7.514887e-02
5.019999999999999e-06	2.400000e+01	4.509365e-01	7.515609e-02
5.731428571428571e-06	2.400000e+01	5.717579e-01	9.529298e-02
6.442857142857143e-06	2.400000e+01	6.889328e-01	1.148221e-01
7.154285714285714e-06	2.400000e+01	8.024612e-01	1.337435e-01
7.865714285714286e-06	2.400000e+01	9.123432e-01	1.520572e-01
8.577142857142858e-06	2.400000e+01	1.018579e+00	1.697631e-01
9.288571428571429e-06	2.400000e+01	1.121168e+00	1.868613e-01
9.999999999999999e-06	2.400000e+01	1.220110e+00	2.033517e-01
1.000100000000000e-05	2.400000e+01	1.220246e+00	2.033743e-01
1.000300000000000e-05	2.400000e+01	1.220518e+00	2.034196e-01
1.001000000000000e-05	2.400000e+01	1.221470e+00	2.035782e-01
1.072428571428571e-05	2.400000e+01	1.329913e+00	2.216522e-01
1.143857142857143e-05	2.400000e+01	1.451607e+00	2.419345e-01
1.215285714285714e-05	2.400000e+01	1.586551e+00	2.644252e-01
1.286714285714286e-05	2.400000e+01	1.734745e+00	2.891242e-01
1.358142857142857e-05	2.400000e+01	1.896189e+00	3.160315e-01
1.429571428571429e-05	2.400000e+01	2.070883e+00	3.451472e-01
1.501000000000000e-05	2.400000e+01	2.258828e+00	3.764713e-01
1.501940937860517e-05	2.400000e+01	2.261398e+00	3.768996e-01
1.501945312833812e-05	2.400000e+01	2.261410e+00	3.769016e-01
1.501954062780402e-05	2.400000e+01	2.261434e+00	3.769056e-01
1.501971562673582e-05	2.400000e+01	2.261481e+00	3.769135e-01
1.502000000000000e-05	2.400000e+01	2.261559e+00	3.769265e-01
1.573142857142857e-05	2.400000e+01	2.451146e+00	4.085244e-01
1.644285714285714e-05	2.400000e+01	2.633911e+00	4.389853e-01
1.715428571428571e-05	2.400000e+01	2.809854e+00	4.683091e-01
1.786571428571429e-05	2.400000e+01	2.978975e+00	4.964958e-01
1.857714285714286e-05	2.400000e+01	3.141273e+00	5.235455e-01
1.928857142857143e-05	2.400000e+01	3.296749e+00	5.494582e-01
2.000000000000000e-05	2.400000e+01	3.445403e+00	5.742338e-01
2.000100000000000e-05	2.400000e+01	3.445606e+00	5.742677e-01
2.000300000000000e-05	2.400000e+01	3.446012e+00	5.743353e-01
2.001000000000000e-05	2.400000e+01	3.447434e+00	5.745723e-01
2.072428571428571e-05	2.400000e+01	3.601651e+00	6.002751e-01
2.143857142857143e-05	2.400000e+01	3.766265e+00	6.277109e-01
2.215285714285714e-05	2.400000e+01	3.941278e+00	6.568797e-01
2.286714285714286e-05	2.400000e+01	4.126689e+00	6.877815e-01
2.358142857142857e-05	2.400000e+01	4.322498e+00	7.204163e-01
2.429571428571429e-05	2.400000e+01	4.528704e+00	7.547840e-01
2.501000000000000e-05	2.400000e+01	4.745309e+00	7.908848e-01
2.501940939885742e-05	2.400000e+01	4.748234e+00	7.913722e-01
2.501945314709021e-05	2.400000e+01	4.748247e+00	7.913745e-01
2.501954064355577e-05	2.400000e+01	4.748274e+00	7.913790e-01
2.501971563648691e-05	2.400000e+01	4.748329e+00	7.913882e-01
2.502000000000000e-05	2.400000e+01	4.748417e+00	7.914029e-01
2.573142857142857e-05	2.400000e+01	4.962918e+00	8.271531e-01
2.644285714285714e-05	2.400000e+01	5.168150e+00	8.613584e-01
2.715428571428571e-05	2.400000e+01	5.364113e+00	8.940190e-01
2.786571428571428e-05	2.400000e+01	5.550808e+00	9.251347e-01
2.857714285714286e-05	2.400000e+01	5.728234e+00	9.547057e-01
2.928857142857143e-05	2.400000e+01	5.896391e+00	9.827318e-01
3.000000000000000e-05	2.400000e+01	6.055279e+00	1.009213e+00
3.000033536570263e-05	2.400000e+01	6.055351e+00	1.009225e+00
3.000100609710790e-05	2.400000e+01	6.055495e+00	1.009249e+00
3.000234755991843e-05	2.400000e+01	6.055784e+00	1.009297e+00
3.001000000000000e-05	2.400000e+01	6.057433e+00	1.009572e+00
3.072428571428571e-05	2.400000e+01	6.218809e+00	1.036468e+00
3.143857142857143e-05	2.400000e+01	6.388517e+00	1.064753e+00
3.215285714285714e-05	2.400000e+01	6.566557e+00	1.094426e+00
3.286714285714286e-05	2.400000e+01	6.752928e+00	1.125488e+00
3.358142857142857e-05	2.400000e+01	6.947631e+00	1.157939e+00
3.429571428571429e-05	2.400000e+01	7.150666e+00	1.191778e+00
3.501000000000000e-05	2.400000e+01	7.362032e+00	1.227005e+00
3.501862500000000e-05	2.400000e+01	7.364636e+00	1.227439e+00
3.501912500000000e-05	2.400000e+01	7.364787e+00	1.227465e+00
